Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	
	0.11934	1.573	0.316584	-1.37056			
AAED1	1.88193e-008	2.07651	0.349598	1.10555			
AAGAB	0.94892	1.00644	0.00011916	-1.61788			
AANAT	0.867874	-1.0188	0.109465	1.22207			
AASDH	0.52209	-1.10238	0.721978	1.061			
ABCA12	0.0720116	-1.12975	0.0338512	1.17275			
ABCA13	0.597548	1.18976	0.0732566	1.93896			
ABCA17P	0.38852	1.05391	0.772534	1.01936			
ABCA8	0.374325	-1.58617	0.0613757	-2.97163			
ABCB10	0.0328232	1.27538	0.532887	-1.07802			
ABCB6	0.0153697	1.24374	0.0018101	1.37469			
ABCB7	4.89781e-005	2.08989	0.00723378	1.63449			
ABCC10	0.584387	-1.02909	0.000190528	1.27314			
ABCC2	0.190323	1.0923	0.00134269	1.29072			
ABCC3	0.0100013	-1.55305	4.58459e-009	4.15418			
ABCC5-AS1	0.0690059	1.22545	0.42479	1.10026			
ABCD1	0.127985	1.1463	0.0473868	1.21843			
ABCE1	0.00923276	1.46798	0.146483	-1.25266			
ABCF2	5.78696e-009	2.11319	0.139797	1.16742			
ABCF3	0.0927099	1.14698	0.372196	-1.08152			
ABCG2	0.847753	1.06546	9.1273e-005	-5.05			
ABCG5	0.845782	-1.01727	0.493893	1.06845			
ABHD10	0.948537	-1.00643	1.19085e-009	-2.5434			
ABHD11	0.315769	1.06945	0.000434322	1.32977			
ABHD16A	0.00018956	-1.211	0.896769	-1.00647			
ABHD3	0.000262107	1.7637	0.113881	-1.27725			
ABI3BP	0.958611	1.02362	0.634824	1.26422			
ABL1	0.927821	-1.007	0.409625	1.07244			
ABLIM3	0.939552	-1.01854	0.0352198	-1.78684			
ACACB	0.589599	-1.07436	0.484624	1.10734			
ACAD9	9.71307e-007	1.2387	9.38112e-010	1.39743			
ACADM	0.00314989	1.39014	0.0363395	-1.27923			
ACADSB	0.81497	-1.07349	0.00859577	-2.5225			
ACAP2	0.585109	1.07351	0.718117	-1.05264			
ACAP2-IT1	0.959008	1.0089	9.32789e-005	-2.32551			
ACAT1	0.000109498	1.58722	0.0742977	1.23406			
ACAT2	0.0911665	-1.38616	0.014689	-1.70013			
ACBD3	8.11042e-005	-2.09513	0.650684	1.08472			
ACE2	0.69092	-1.03735	0.564053	1.06011			
ACER3	0.150114	-1.36667	0.00472112	-2.02837			
ACN9	9.72807e-009	2.73854	0.0109591	-1.46553			
