Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Proneural-line vs. B10)	fold change(Proneural-line vs. B10)	
CDH5	0.906076	1.07313	0.720793	1.24736	
CXCL10	0.973947	-1.02932	0.747029	1.34321	
DDX58	0.752505	-1.20907	0.224881	2.14574	
IFI30	0.000601728	2.62212	7.65783e-005	3.28302	
MGP	0.839409	1.11555	0.00656774	5.02145	
PDGFRA	0.0219287	2.66373	3.74436e-009	30.9544	
PLP2	4.99227e-006	3.92528	8.08607e-008	5.99753	
SEMA3A	0.374876	-1.84073	0.606048	1.43998	
SERPINE1	0.947275	1.02421	0.00270896	3.357	
SPARCL1	0.0740886	2.06954	0.000250423	5.39605	
TNFSF10	0.911453	-1.05065	0.0266261	2.88925	
TSHZ2	0.0276942	-3.05158	0.052974	2.72694	
