Gene	p-value(Mesenchymal-line vs. B10)	fold change(Mesenchymal-line vs. B10)	p-value(Classical-tex vs. TOTBRAIN)	fold change(Classical-tex vs. TOTBRAIN)	p-value(Proneural-tex vs. TOTBRAIN)	fold change(Proneural-tex vs. TOTBRAIN)	
CDH5	6.97208e-005	20.0097	0.840591	-1.14092	0.0105789	-7.73655	
CXCL10	0.0043682	19.3746	0.0198079	10.6581	0.240763	3.77546	
DDX58	0.000117639	18.0163	0.0379209	4.13353	0.582718	-1.52062	
IFI30	2.80247e-011	16.656	0.00106363	2.71267	0.00113081	3.14258	
MGP	3.23656e-005	17.4887	0.102212	2.68534	0.495379	1.59519	
PDGFRA	1.83645e-007	19.8715	0.406285	1.45351	0.023517	3.39923	
PLP2	2.49183e-011	15.9921	1.58089e-008	7.88664	0.0294216	2.04074	
SEMA3A	0.000691889	16.5534	0.837942	-1.16543	0.133601	-3.74734	
SERPINE1	5.05706e-008	16.9865	0.00889215	3.00268	3.61289e-006	13.0437	
SPARCL1	3.50754e-007	16.3966	0.233151	-1.68856	0.00496575	-4.51559	
TNFSF10	1.11228e-006	18.8207	0.142935	2.067	0.0141649	-4.2704	
TSHZ2	6.29222e-006	17.9125	0.561112	1.36397	0.011094	-5.21144	
