Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-line vs. B10)	fold change(Mesenchymal-line vs. B10)	p-value(Proneural-line vs. B10)	fold change(Proneural-line vs. B10)	p-value(Classical-tex vs. TOTBRAIN)	fold change(Classical-tex vs. TOTBRAIN)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Proneural-tex vs. TOTBRAIN)	fold change(Proneural-tex vs. TOTBRAIN)	
DCC	4.69963e-012	-18.0609	0.382239	1.29103	2.74364e-008	-7.53672	0.0150189	-2.10261	0.000212251	-3.365	0.000840471	-3.43545	
DKK1	1.30127e-009	-13.3853	0.0866831	1.7935	1.00933e-008	-11.3656	0.125152	-1.68253	0.685634	1.14432	0.00116145	-3.9245	
IGFBP7	0.00732971	-10.099	0.324296	2.41676	0.847369	1.1749	0.57012	1.65799	0.276148	-2.65575	0.100286	-5.60809	
KIAA1598	2.39366e-006	-9.2497	0.0199925	2.80458	0.459402	1.34519	0.00299618	-3.87878	0.0060278	-3.45641	0.0143087	-3.52592	
UTRN	0.000476633	-9.19644	0.0139852	5.04706	0.240085	2.01539	0.10462	2.82327	0.20217	2.24496	0.928219	-1.06722	
ODZ2	7.94201e-011	-9.14368	0.0014884	2.38265	8.39614e-007	-4.2503	3.17e-005	-3.36779	7.65126e-005	-3.116	6.11649e-006	-4.80267	
PDPN	0.000253884	-7.51257	0.000447065	8.16331	0.800053	1.1369	0.0511002	2.95094	0.0818085	2.60908	0.0900946	2.93595	
TGFBR2	1.28229e-008	-7.49204	0.433971	1.25416	0.000163669	-3.18777	0.190585	1.46581	0.201518	-1.45196	0.0130801	-2.38683	
MYO1E	9.21685e-005	-6.78734	0.649142	1.23825	0.0491412	-2.45701	0.69488	-1.2022	0.274548	-1.6779	0.0420621	-3.1275	
FAM129A	0.00012195	-6.09203	0.00883291	3.51411	0.131728	1.92618	0.366977	1.50834	0.565767	1.29767	0.0394093	-3.05246	
GABBR2	9.85783e-005	-6.02551	0.535406	1.31638	0.294014	-1.555	5.609e-006	-11.17	6.34099e-008	-22.7241	0.000308577	-7.87853	
WDR49	4.23951e-006	-5.28271	0.471698	1.26766	0.1172	-1.64023	0.000104636	4.27674	0.166133	-1.58691	0.000662129	-4.16683	
BVES	0.00252742	-4.83167	0.00759204	4.47608	0.0627177	2.59661	0.480184	-1.45399	0.0917852	-2.48922	0.032248	-3.88703	
OR56B1	0.000306221	-4.6676	0.10507	1.9963	0.438464	-1.3583	0.00650126	3.35324	0.479567	1.34465	0.940513	1.0366	
PCDHGB2	0.0217259	-4.65503	0.00733709	7.3996	0.102872	3.01528	0.0263184	5.08337	0.0118429	6.45413	0.177773	3.03074	
DOK5	5.39587e-007	-4.35936	0.276763	1.32546	9.77318e-006	-3.57074	0.560737	1.16141	0.470483	1.20432	9.13244e-006	-4.78687	
NEK9	0.00344924	-4.34927	0.00142942	5.93631	0.705726	1.19993	0.630945	1.27906	0.858826	1.09524	0.242883	-2.00884	
LOC100507516	0.00274942	-4.33692	0.629051	1.27173	0.923849	-1.04578	0.0175942	3.44678	0.895767	1.06724	0.27769	-1.87526	
SLC38A1	0.0723089	-4.19743	0.239463	2.75226	0.695023	1.37001	0.493606	-1.79433	0.295078	-2.45703	0.0754071	-6.01374	
VAT1L	6.27676e-009	-4.08493	7.61384e-006	2.82899	2.44447e-007	-3.33452	5.14886e-011	-6.80348	2.83236e-009	-4.95946	0.675018	-1.0988	
FNBP1L	4.03062e-005	-4.03663	0.143319	1.61291	0.00509455	-2.47533	0.0364871	2.00649	0.25913	1.44177	0.233152	-1.5635	
FAM111A	0.00106703	-3.9605	0.0677734	2.20088	0.687374	1.17291	0.0019019	4.12557	0.000349555	5.35783	0.0020871	5.0503	
MAN1A1	0.00763838	-3.95556	0.0273826	3.39215	0.257822	-1.77319	0.495869	-1.43778	0.0787541	-2.60794	0.0323446	-3.91534	
EBF1	0.000335834	-3.76371	0.00204359	3.35896	0.124253	-1.7074	0.496004	1.28053	0.785592	1.1035	0.0231876	2.69473	
DDX60	0.0328323	-3.66873	0.00120924	9.72891	0.241909	2.04678	0.0246102	4.50868	0.327848	1.88325	0.767982	-1.24453	
SPP1	0.136303	-3.66292	0.000154047	55.7429	0.0131871	10.0541	0.644034	-1.54289	0.774159	1.30865	0.733453	1.44591	
IFITM2	0.00480385	-3.46463	0.01711	3.09039	0.515967	-1.31916	0.227663	1.73404	0.30302	-1.5974	0.359523	-1.61644	
HLA-B	0.00129788	-3.43056	1.85474e-005	6.91331	0.308467	1.45021	0.0303879	2.37449	0.565702	1.24736	0.387342	1.47029	
