Column #	gene_assignment	Gene Symbol	RefSeq	Transcript ID	p-value(Subtype-golden)	p-value(Classical-line vs. B10)	Ratio(Classical-line vs. B10)	Fold-Change(Classical-line vs. B10)	Fold-Change(Classical-line vs. B10) (Description)	p-value(Mesenchymal-line vs. B10)	Ratio(Mesenchymal-line vs. B10)	Fold-Change(Mesenchymal-line vs. B10)	Fold-Change(Mesenchymal-line vs. B10) (Description)	p-value(Proneural-line vs. B10)	Ratio(Proneural-line vs. B10)	Fold-Change(Proneural-line vs. B10)	Fold-Change(Proneural-line vs. B10) (Description)	p-value(Classical-tex vs. TOTBRAIN)	Ratio(Classical-tex vs. TOTBRAIN)	Fold-Change(Classical-tex vs. TOTBRAIN)	Fold-Change(Classical-tex vs. TOTBRAIN) (Description)	p-value(Mesenchymal-tex vs. TOTBRAIN)	Ratio(Mesenchymal-tex vs. TOTBRAIN)	Fold-Change(Mesenchymal-tex vs. TOTBRAIN)	Fold-Change(Mesenchymal-tex vs. TOTBRAIN) (Description)	p-value(Proneural-tex vs. TOTBRAIN)	Ratio(Proneural-tex vs. TOTBRAIN)	Fold-Change(Proneural-tex vs. TOTBRAIN)	Fold-Change(Proneural-tex vs. TOTBRAIN) (Description)	F(Subtype-golden)	SS(Subtype-golden)	SS(Error)	F(Error)
67139	NM_004335 // BST2 // bone marrow stromal cell antigen 2 // 19p13.1 // 684 /// ENST00000252593 // BST2 // bone marrow stromal cell antigen 2 // 19p13.1 // 684 /// ENST00000416178 // BST2 // bone marrow stromal cell antigen 2 // 19p13.1 // 684 /// ENST00000527220 // BST2 // bone marrow stromal cell antigen 2 // 19p13.1 // 684 /// BC033873 // BST2 // bone marrow stromal cell antigen 2 // 19p13.1 // 684	BST2	NM_004335	TC19001275.hg.1	3.25786e-013	0.434208	1.50149	1.50149	Classical-line up vs B10	7.54353e-010	142.989	142.989	Mesenchymal-line up vs B10	0.000306898	8.67499	8.67499	Proneural-line up vs B10	0.122407	2.44229	2.44229	Classical-tex up vs TOTBRAIN	0.236689	1.97046	1.97046	Mesenchymal-tex up vs TOTBRAIN	0.436262	0.599405	-1.66832	Proneural-tex down vs TOTBRAIN	33.2848	262.322	26.2704	1
33513	NM_152703 // SAMD9L // sterile alpha motif domain containing 9-like // 7q21.2 // 219285 /// ENST00000318238 // SAMD9L // sterile alpha motif domain containing 9-like // 7q21.2 // 219285 /// ENST00000394472 // SAMD9L // sterile alpha motif domain containing 9-like // 7q21.2 // 219285 /// ENST00000411955 // SAMD9L // sterile alpha motif domain containing 9-like // 7q21.2 // 219285 /// ENST00000437805 // SAMD9L // sterile alpha motif domain containing 9-like // 7q21.2 // 219285 /// ENST00000477816 // SAMD9L // sterile alpha motif domain containing 9-like // 7q21.2 // 219285 /// BC127117 // SAMD9L // sterile alpha motif domain containing 9-like // 7q21.2 // 219285 /// BC127118 // SAMD9L // sterile alpha motif domain containing 9-like // 7q21.2 // 219285	SAMD9L	NM_152703	TC07001606.hg.1	5.54314e-013	0.530237	0.689752	-1.4498	Classical-line down vs B10	2.19109e-008	123.924	123.924	Mesenchymal-line up vs B10	3.34354e-005	18.9752	18.9752	Proneural-line up vs B10	0.00170596	9.09468	9.09468	Classical-tex up vs TOTBRAIN	0.0407158	3.93682	3.93682	Mesenchymal-tex up vs TOTBRAIN	0.303724	2.16887	2.16887	Proneural-tex up vs TOTBRAIN	31.9816	327.938	34.1799	1
57010	ENST00000390473 // TRDJ1 // T cell receptor delta joining 1 // --- // --- /// ENST00000390474 // TRDJ4 // T cell receptor delta joining 4 // --- // --- /// ENST00000390475 // TRDJ2 // T cell receptor delta joining 2 // --- // --- /// ENST00000390476 // TRDJ3 // T cell receptor delta joining 3 // --- // --- /// ENST00000390477 // TRDC // T cell receptor delta constant // --- // ---	TRDJ1	ENST00000390473	TC14002191.hg.1	9.40586e-008	0.819784	1.17603	1.17603	Classical-line up vs B10	9.28038e-007	115.568	115.568	Mesenchymal-line up vs B10	0.142464	2.99674	2.99674	Proneural-line up vs B10	0.928599	0.932545	-1.07233	Classical-tex down vs TOTBRAIN	0.758547	1.27093	1.27093	Mesenchymal-tex up vs TOTBRAIN	0.104956	0.224928	-4.44586	Proneural-tex down vs TOTBRAIN	12	179.022	49.7282	1
24665	NM_002203 // ITGA2 // integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor) // 5q11.2 // 3673 /// ENST00000296585 // ITGA2 // integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor) // 5q11.2 // 3673	ITGA2	NM_002203	TC05000218.hg.1	6.07105e-013	0.383839	1.54961	1.54961	Classical-line up vs B10	3.12191e-009	89.142	89.142	Mesenchymal-line up vs B10	0.00731221	4.3622	4.3622	Proneural-line up vs B10	0.142501	2.26519	2.26519	Classical-tex up vs TOTBRAIN	0.551953	0.721361	-1.38627	Mesenchymal-tex down vs TOTBRAIN	0.436194	0.609733	-1.64006	Proneural-tex down vs TOTBRAIN	31.7631	233.827	24.5386	1
50755	NM_001032731 // OAS2 // 2'-5'-oligoadenylate synthetase 2, 69/71kDa // 12q24.2 // 4939 /// NM_002535 // OAS2 // 2'-5'-oligoadenylate synthetase 2, 69/71kDa // 12q24.2 // 4939 /// NM_016817 // OAS2 // 2'-5'-oligoadenylate synthetase 2, 69/71kDa // 12q24.2 // 4939 /// ENST00000342315 // OAS2 // 2'-5'-oligoadenylate synthetase 2, 69/71kDa // 12q24.2 // 4939 /// ENST00000392583 // OAS2 // 2'-5'-oligoadenylate synthetase 2, 69/71kDa // 12q24.2 // 4939 /// ENST00000449768 // OAS2 // 2'-5'-oligoadenylate synthetase 2, 69/71kDa // 12q24.2 // 4939 /// ENST00000548941 // OAS2 // 2'-5'-oligoadenylate synthetase 2, 69/71kDa // 12q24.2 // 4939 /// BC049215 // OAS2 // 2'-5'-oligoadenylate synthetase 2, 69/71kDa // 12q24.2 // 4939	OAS2	NM_001032731	TC12000886.hg.1	1.85668e-007	0.925626	0.934074	-1.07058	Classical-line down vs B10	4.59775e-006	83.4582	83.4582	Mesenchymal-line up vs B10	0.00207205	12.4635	12.4635	Proneural-line up vs B10	0.0770286	4.27686	4.27686	Classical-tex up vs TOTBRAIN	0.720199	1.33237	1.33237	Mesenchymal-tex up vs TOTBRAIN	0.678718	1.46713	1.46713	Proneural-tex up vs TOTBRAIN	11.277	177.397	52.436	1
33512	NM_001193307 // SAMD9 // sterile alpha motif domain containing 9 // 7q21.2 // 54809 /// NM_017654 // SAMD9 // sterile alpha motif domain containing 9 // 7q21.2 // 54809 /// ENST00000379958 // SAMD9 // sterile alpha motif domain containing 9 // 7q21.2 // 54809 /// BC132773 // SAMD9 // sterile alpha motif domain containing 9 // 7q21.2 // 54809 /// BC150249 // SAMD9 // sterile alpha motif domain containing 9 // 7q21.2 // 54809	SAMD9	NM_001193307	TC07001605.hg.1	1.50889e-009	0.581606	0.720487	-1.38795	Classical-line down vs B10	4.77681e-007	61.3205	61.3205	Mesenchymal-line up vs B10	0.000216189	12.8877	12.8877	Proneural-line up vs B10	0.00210653	8.75383	8.75383	Classical-tex up vs TOTBRAIN	0.100155	2.98502	2.98502	Mesenchymal-tex up vs TOTBRAIN	0.293939	2.21479	2.21479	Proneural-tex up vs TOTBRAIN	17.1594	178.103	34.5977	1
21982	NM_000582 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// NM_001040058 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// NM_001040060 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// NM_001251829 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// NM_001251830 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// ENST00000237623 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// ENST00000359072 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// ENST00000360804 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// ENST00000395080 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// ENST00000509659 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// ENST00000535912 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// BC007016 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// BC017387 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// BC022844 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696 /// BC093033 // SPP1 // secreted phosphoprotein 1 // 4q22.1 // 6696	SPP1	NM_000582	TC04000478.hg.1	6.88141e-010	0.136303	0.273006	-3.66292	Classical-line down vs B10	0.000154047	55.7429	55.7429	Mesenchymal-line up vs B10	0.0131871	10.0541	10.0541	Proneural-line up vs B10	0.644034	0.648134	-1.54289	Classical-tex down vs TOTBRAIN	0.774159	1.30865	1.30865	Mesenchymal-tex up vs TOTBRAIN	0.733453	1.44591	1.44591	Proneural-tex up vs TOTBRAIN	18.3084	394.696	71.8605	1
36341	NM_003155 // STC1 // stanniocalcin 1 // 8p21-p11.2 // 6781 /// ENST00000290271 // STC1 // stanniocalcin 1 // 8p21-p11.2 // 6781 /// ENST00000524323 // STC1 // stanniocalcin 1 // 8p21-p11.2 // 6781 /// ENST00000540277 // STC1 // stanniocalcin 1 // 8p21-p11.2 // 6781 /// BC029044 // STC1 // stanniocalcin 1 // 8p21-p11.2 // 6781	STC1	NM_003155	TC08001062.hg.1	1.90886e-008	0.00331683	3.70811	3.70811	Classical-line up vs B10	6.50556e-010	54.7018	54.7018	Mesenchymal-line up vs B10	1.77538e-005	8.68677	8.68677	Proneural-line up vs B10	0.0144258	0.310828	-3.21721	Classical-tex down vs TOTBRAIN	0.199952	0.554517	-1.80337	Mesenchymal-tex down vs TOTBRAIN	0.813093	0.883447	-1.13193	Proneural-tex down vs TOTBRAIN	13.8271	69.9119	16.8538	1
22052	NM_001033047 // NPNT // nephronectin // 4q24 // 255743 /// NM_001184690 // NPNT // nephronectin // 4q24 // 255743 /// NM_001184691 // NPNT // nephronectin // 4q24 // 255743 /// NM_001184692 // NPNT // nephronectin // 4q24 // 255743 /// NM_001184693 // NPNT // nephronectin // 4q24 // 255743 /// ENST00000305572 // NPNT // nephronectin // 4q24 // 255743 /// ENST00000379987 // NPNT // nephronectin // 4q24 // 255743 /// ENST00000427316 // NPNT // nephronectin // 4q24 // 255743 /// ENST00000453617 // NPNT // nephronectin // 4q24 // 255743 /// ENST00000506666 // NPNT // nephronectin // 4q24 // 255743 /// ENST00000513430 // NPNT // nephronectin // 4q24 // 255743 /// ENST00000514622 // NPNT // nephronectin // 4q24 // 255743	NPNT	NM_001033047	TC04000548.hg.1	4.20643e-007	0.749096	1.32767	1.32767	Classical-line up vs B10	0.000412666	45.6148	45.6148	Mesenchymal-line up vs B10	0.0723495	5.41415	5.41415	Proneural-line up vs B10	0.101262	5.08451	5.08451	Classical-tex up vs TOTBRAIN	0.616582	1.62687	1.62687	Mesenchymal-tex up vs TOTBRAIN	0.644992	0.596355	-1.67685	Proneural-tex down vs TOTBRAIN	10.4488	241.445	77.0243	1
28690	NM_001624 // AIM1 // absent in melanoma 1 // 6q21 // 202 /// ENST00000285105 // AIM1 // absent in melanoma 1 // 6q21 // 202 /// ENST00000369066 // AIM1 // absent in melanoma 1 // 6q21 // 202 /// ENST00000487681 // AIM1 // absent in melanoma 1 // 6q21 // 202 /// ENST00000535438 // AIM1 // absent in melanoma 1 // 6q21 // 202	AIM1	NM_001624	TC06000846.hg.1	6.68437e-011	0.0954959	2.36382	2.36382	Classical-line up vs B10	9.5978e-008	45.4439	45.4439	Mesenchymal-line up vs B10	7.20424e-005	10.741	10.741	Proneural-line up vs B10	0.332566	1.71464	1.71464	Classical-tex up vs TOTBRAIN	0.488552	1.46804	1.46804	Mesenchymal-tex up vs TOTBRAIN	0.200521	0.437168	-2.28745	Proneural-tex down vs TOTBRAIN	22.0946	165.412	24.9551	1
